title,release_date,runtime,language
Secrets of the Saqqara Tomb,2020-10-28,114,English
Shawn Mendes: In Wonder,2020-11-23,83,English
Dance Dreams: Hot Chocolate Nutcracker,2020-11-27,80,English
Emicida: AmarElo – It's All For Yesterday,2020-12-08,89,Portuguese
Giving Voice,2020-12-11,90,English
The Minimalists: Less Is Now,2021-01-01,53,English
Tony Parker: The Final Shot,2021-01-06,98,French
"Crack: Cocaine, Corruption & Conspiracy",2021-01-11,89,English
What Would Sophia Loren Do?,2021-01-15,32,English
"Strip Down, Rise Up",2021-02-05,112,English
Pelé,2021-02-23,108,Portuguese
Biggie: I Got a Story to Tell,2021-03-01,97,English
Operation Varsity Blues: The College Admissions Scandal,2021-03-17,99,English
Seaspiracy,2021-03-24,89,English
Dolly Parton: A MusiCares Tribute,2021-04-07,55,English
Why Did You Kill Me?,2021-04-14,83,English
Chadwick Boseman: Portrait of an Artist,2021-04-17,21,English
Searching for Sheela,2021-04-22,58,English
Nail Bomber: Manhunt,2021-05-26,72,English
Breaking Boundaries: The Science of Our Planet,2021-06-04,73,English
Kitty Love: An Homage to Cats,2021-06-05,60,Dutch
Murder by the Coast,2021-06-23,88,Spanish
Sisters on Track,2021-06-24,96,English
Audible,2021-07-01,38,English
Private Network: Who Killed Manuel Buendia?,2021-07-14,100,Spanish
Pray Away,2021-08-03,101,English
Shiny_Flakes: The Teenage Drug Lord,2021-08-03,96,German
Untold: Malice at the Palace,2021-08-10,69,English
Untold: Deal with the Devil,2021-08-17,77,English
Memories of a Murderer: The Nilsen Tapes,2021-08-18,85,English
Untold: Caitlyn Jenner,2021-08-24,69,English
"Bob Ross: Happy Accidents, Betrayal & Greed",2021-08-25,93,English
Untold: Crimes & Penalties,2021-08-31,86,English
Untold: Breaking Point,2021-09-07,79,English
Blood Brothers: Malcolm X & Muhammad Ali,2021-09-09,96,English
The Women and the Murderer,2021-09-09,92,French
Schumacher,2021-09-15,112,English
My Heroes Were Cowboys,2021-09-16,23,English
Britney vs Spears,2021-09-28,93,English
Convergence: Courage in a Crisis,2021-10-12,113,English
Making Malinche: A Documentary by Nacho Cano,2021-10-12,89,Spanish
Found,2021-10-20,98,English
Flip a Coin – One OK Rock Documentary,2021-10-21,105,Japanese
Lords of Scam,2021-11-03,105,French
A Cop Movie,2021-11-05,107,Spanish
Procession,2021-11-19,118,English
Angèle,2021-11-26,84,French
14 Peaks: Nothing Is Impossible,2021-11-29,101,English
Lead Me Home,2021-11-30,40,English
137 Shots,2021-12-15,105,English
Puff: Wonders of the Reef,2021-12-16,62,English
Three Songs for Benazir,2022-01-24,22,Pashto
The Tinder Swindler,2022-02-02,114,English
Downfall: The Case Against Boeing,2022-02-18,89,English
11M: Terror in Madrid,2022-02-23,92,Spanish
Surviving Paradise: A Family Tale,2022-03-03,79,English
Broken Idol: The Undoing of Diomedes Díaz,2022-03-30,102,Spanish
Trust No One: The Hunt for the Crypto King,2022-03-30,90,English
Return to Space,2022-04-07,128,English
White Hot: The Rise & Fall of Abercrombie & Fitch,2022-04-19,88,English
The Mystery of Marilyn Monroe: The Unheard Tapes,2022-04-27,101,English
Hold Your Breath: The Ice Dive,2022-05-03,40,English
Our Father,2022-05-11,97,English
Cyber Hell: Exposing an Internet Horror,2022-05-18,105,Korean
The Photographer: Murder in Pinamar,2022-05-19,106,Spanish
Gladbeck: The Hostage Crisis,2022-06-08,91,German
Jennifer Lopez: Halftime,2022-06-14,96,English
"Sing, Dance, Act: Kabuki featuring Toma Ikuta",2022-06-16,87,Japanese
The Martha Mitchell Effect,2022-06-17,40,English
Civil: Ben Crump,2022-06-19,101,English
Girl in the Picture,2022-07-06,102,English
My Daughter's Killer,2022-07-12,84,French
Never Stop Dreaming: The Life and Legacy of Shimon Peres,2022-07-13,129,English
Bank Robbers: The Last Great Heist,2022-08-10,110,Spanish
Stay on Board: The Leo Baker Story,2022-08-11,73,English
Inside the Mind of a Cat,2022-08-18,67,English
Untold: The Rise and Fall of AND1,2022-08-23,69,English
Running with the Devil: The Wild World of John McAfee,2022-08-24,105,English
The Figo Affair: The Transfer that Changed Football,2022-08-25,104,Spanish
Untold: Operation Flagrant Foul,2022-08-30,77,English
Get Smart With Money,2022-09-06,93,English
Untold: The Race of the Century,2022-09-06,83,English
The Anthrax Attacks,2022-09-08,95,English
Skandal! Bringing Down Wirecard,2022-09-16,93,English
The Dreamlife of Georgie Stone,2022-09-22,29,English
A Trip to Infinity,2022-09-26,79,English
Into the Deep: The Submarine Murder Case,2022-09-30,87,English
The Trapped 13: How We Survived The Thai Cave,2022-10-05,103,Thai
The Joys and Sorrows of Young Yuguo,2022-10-06,28,English
The Redeem Team,2022-10-07,98,English
LiSA: Another Great Day,2022-10-18,97,Japanese
Descendant,2022-10-21,109,English
Fugitive: The Curious Case of Carlos Ghosn,2022-10-26,95,English
Orgasm Inc: The Story of OneTaste,2022-11-05,89,English
State of Alabama vs. Brittany Smith,2022-11-10,40,English
Capturing the Killer Nurse,2022-11-11,95,English
Is That Black Enough for You?!?,2022-11-11,135,English
Stutz,2022-11-14,96,English
In Her Hands,2022-11-16,93,English
Racionais MC's: From the Streets of São Paulo,2022-11-16,116,Portuguese
I Am Vanessa Guillen,2022-11-17,96,English
Ghislaine Maxwell: Filthy Rich,2022-11-25,101,English
The Last Dolphin King,2022-11-25,94,Spanish
Take Your Pills: Xanax,2022-11-30,90,English
The Masked Scammer,2022-12-01,90,English
"""Sr.""",2022-12-02,90,English
In Broad Daylight: The Narvarte Case,2022-12-08,108,Spanish
The Elephant Whisperers,2022-12-08,41,Tamil
Kangaroo Valley,2022-12-14,76,English
The Volcano: Rescue from Whakaari,2022-12-16,98,English
