title,release_date,genre,runtime,language
Love Like the Falling Petals,2022-03-24,Drama,129,Japanese
All Hail,2022-03-30,Drama,118,Spanish
Apollo 10 1⁄2: A Space Age Childhood,2022-04-01,Animation,98,English
Battle: Freestyle,2022-04-01,Romantic drama,88,Norwegian
The Bubble,2022-04-01,Comedy,126,English
Cobalt Blue,2022-04-02,Romantic drama,112,Hindi
Dancing on Glass,2022-04-08,Drama,139,Spanish
Metal Lords,2022-04-08,Musical comedy drama,98,English
Yaksha: Ruthless Operations,2022-04-08,Spy,125,Korean
The Taming of the Shrewd,2022-04-13,Comedy,112,Polish
Choose or Die,2022-04-15,Horror,85,English
Man of God,2022-04-16,Drama,111,English
The Turning Point,2022-04-20,Drama,90,Italian
365 Days: This Day,2022-04-27,Erotic thriller,111,English
Silverton Siege,2022-04-27,Action thriller,101,English
Bubble,2022-04-28,Anime,101,Japanese
Honeymoon with My Mother,2022-04-29,Comedy,110,Spanish
Rumspringa – An Amish in Berlin,2022-04-29,Comedy,102,German
Along for the Ride,2022-05-06,Drama,107,English
The Takedown,2022-05-06,Action comedy,121,French
Thar,2022-05-06,Western thriller,108,Hindi
Senior Year,2022-05-13,Comedy,113,English
Toscana,2022-05-18,Drama,90,Danish
A Perfect Pairing,2022-05-19,Romantic comedy,102,English
F*ck Love Too,2022-05-20,Romantic comedy,92,Dutch
Godspeed,2022-05-23,Drama,119,Turkish
Interceptor,2022-06-03,Action drama,98,English
Hustle,2022-06-08,Sports,118,English
Trees of Peace,2022-06-10,Drama,98,English
Centauro,2022-06-15,Action thriller,90,Spanish
Heart Parade,2022-06-15,Romantic comedy,108,Polish
The Wrath of God,2022-06-15,Thriller,98,Spanish
Spiderhead,2022-06-17,Science fiction action thriller,107,English
Doom of Love,2022-06-20,Drama,100,Turkish
Love & Gelato,2022-06-22,Romance,112,English
Blasted,2022-06-28,Science fiction / comedy,115,Norwegian
Beauty,2022-06-29,Drama,95,English
"Hello, Goodbye, and Everything in Between",2022-07-06,Romantic comedy,84,English
Dangerous Liaisons,2022-07-08,Romantic drama,109,French
Jewel,2022-07-08,Drama,80,English
The Sea Beast,2022-07-08,Animated adventure,119,English
For Jojo,2022-07-11,Drama,90,German
Under the Amalfi Sun,2022-07-13,Comedy drama,90,Italian
Jaadugar,2022-07-15,Comedy,167,Hindi
Persuasion,2022-07-15,Drama,109,English
The Gray Man,2022-07-22,Spy thriller,129,English
Recurrence,2022-07-27,Thriller,116,Spanish
A Cut Above,2022-07-28,Comedy,91,Portuguese
The Entitled,2022-07-29,Romantic comedy,90,Filipino
Purple Hearts,2022-07-29,Romance,122,English
Buba,2022-08-03,Comedy,94,German
Don't Blame Karma!,2022-08-03,Romantic comedy,85,Spanish
Wedding Season,2022-08-04,Comedy,97,English
Carter,2022-08-05,Action,134,Korean
Darlings,2022-08-05,Comedy drama,134,Hindi
Rise of the Teenage Mutant Ninja Turtles: The Movie,2022-08-05,Animated action-adventure,82,English
Heartsong,2022-08-10,Romantic comedy,95,Turkish
13: The Musical,2022-08-12,Musical,94,English
Day Shift,2022-08-12,Fantasy comedy,113,English
Look Both Ways,2022-08-17,Romantic comedy,111,English
Royalteen,2022-08-17,Coming-of-age,108,Norwegian
The Next 365 Days,2022-08-19,Erotic thriller,113,English
That's Amor,2022-08-25,Romantic comedy,96,English
Loving Adults,2022-08-26,Thriller,105,Danish
Me Time,2022-08-26,Comedy,104,English
Seoul Vibe,2022-08-26,Action,140,Korean
I Came By,2022-08-31,Thriller,110,English
Fenced in,2022-09-01,Comedy,110,Portuguese
Love in the Villa,2022-09-01,Romantic comedy,115,English
The Festival of Troubadours,2022-09-02,Drama,102,Turkish
End of the Road,2022-09-09,Crime thriller,91,English
No Limit,2022-09-09,Thriller,118,French
Broad Peak,2022-09-14,Thriller,102,Polish
Do Revenge,2022-09-16,Black comedy,118,English
Drifting Home,2022-09-16,Anime,120,Japanese
I Used to Be Famous,2022-09-16,Musical drama,104,English
Jogi,2022-09-16,Drama,116,Hindi
The Perfumier,2022-09-21,Crime drama,96,German
A Jazzman's Blues,2022-09-23,Drama,128,English
Lou,2022-09-23,Thriller,107,English
Athena,2022-09-23,Drama,97,French
Blonde,2022-09-28,Biographical drama,167,English
Aníkúlápó,2022-09-30,Fantasy drama,142,Yoruba
Plan A Plan B,2022-09-30,Romantic comedy,106,Hindi
Rainbow,2022-09-30,Fantasy drama,118,Spanish
Jumping from High Places,2022-10-05,Drama,88,Italian
Mr. Harrigan's Phone,2022-10-05,Horror,106,English
Togo,2022-10-05,Thriller,95,Spanish
Doll House,2022-10-07,Drama,106,Filipino
Luckiest Girl Alive,2022-10-07,Mystery,115,English
Old People,2022-10-07,Horror,101,German
Someone Borrowed,2022-10-11,Romantic comedy,107,Portuguese
The Curse of Bridge Hollow,2022-10-14,Comedy,91,English
The School for Good and Evil,2022-10-19,Children's fantasy,148,English
The Stranger,2022-10-19,Thriller,117,English
20th Century Girl,2022-10-21,Romantic,121,Korean
Hellhole,2022-10-26,Horror,90,Polish
Robbing Mussolini,2022-10-26,Action comedy,90,Italian
The Good Nurse,2022-10-26,Drama,123,English
Beyond the Universe,2022-10-27,Romantic drama,127,Portuguese
All Quiet on the Western Front,2022-10-28,War drama,148,German
Cici,2022-10-28,Drama,151,Turkish
Wendell & Wild,2022-10-28,Stop motion fantasy horror comedy,106,English
Wild Is the Wind,2022-10-28,Crime drama,123,English
The Takeover,2022-11-01,Action / thriller,88,Dutch
The Soccer Football Movie,2022-11-09,Animation,73,English
Falling for Christmas,2022-11-10,Romantic comedy,95,English
Lost Bullet 2: Back for More,2022-11-10,Action,100,French
Don't Leave,2022-11-11,Drama,107,Turkish
"Monica, O My Darling",2022-11-11,Neo-noir comedy thriller,130,Hindi
My Father's Dragon,2022-11-11,Animated fantasy adventure,103,English
The Lost Lotteries,2022-11-16,Comedy,106,Thai
The Wonder,2022-11-16,Psychological drama,109,English
Christmas with You,2022-11-17,Romantic comedy,90,English
Slumberland,2022-11-18,Fantasy adventure,120,English
Christmas on Mistletoe Farm,2022-11-23,Comedy,103,English
Lesson Plan,2022-11-23,Crime drama,99,Polish
The Swimmers,2022-11-23,Drama,135,English
Who's a Good Boy?,2022-11-23,Comedy,95,Spanish
The Noel Diary,2022-11-24,Drama,100,English
A Man of Action,2022-11-30,Biopic,111,Spanish
Christmas Full of Grace,2022-11-30,Romantic comedy,105,Portuguese
My Name Is Vendetta,2022-11-30,Thriller,90,Italian
Qala,2022-12-01,Drama,119,Hindi
Troll,2022-12-01,Monster,103,Norwegian
Lady Chatterley's Lover,2022-12-02,Romantic drama,127,English
Scrooge: A Christmas Carol,2022-12-02,Animation,101,English
Delivery by Christmas,2022-12-06,Romantic comedy,100,Polish
Burning Patience,2022-12-07,Drama,90,Spanish
The Marriage App,2022-12-07,Drama,101,Spanish
The Claus Family 3,2022-12-08,Fantasy,73,Dutch
Guillermo del Toro's Pinocchio,2022-12-09,Stop motion fantasy musical drama,116,English
I Believe in Santa,2022-12-14,Romantic comedy,90,English
The Big 4,2022-12-15,Action comedy,141,Indonesian
"Bardo, False Chronicle of a Handful of Truths",2022-12-16,Comedy,159,Spanish
Private Lesson,2022-12-16,Romantic comedy,89,Turkish
A Not So Merry Christmas,2022-12-20,Comedy,100,Spanish
Glass Onion: A Knives Out Mystery,2022-12-23,Murder mystery,139,English
A Night at the Kindergarten,2022-12-28,Black comedy,97,Polish
White Noise,2022-12-30,Black comedy,136,English
The Pale Blue Eye,2023-01-06,Historical thriller drama,130,English
Noise,2023-01-11,Drama,105,Spanish
Dog Gone,2023-01-13,Family drama,95,English
Disconnect: The Wedding Planner,2023-01-13,Romantic comedy,107,English
Alkhallat+,2023-01-19,Satirical thriller,117,Arabic
Jung E,2023-01-20,Sci-fi action / adventure,99,Korean
Mission Majnu,2023-01-20,Spy thriller,129,Hindi
The Price of Family,2023-01-25,Comedy,90,Italian
You People,2023-01-27,Comedy,118,English
True Spirit,2023-02-03,Biopic,109,English
Infiesto,2023-02-03,Thriller,96,Spanish
Dear David,2023-02-09,Coming-of-age romantic drama,118,Indonesian
Your Place or Mine,2023-02-10,Romantic comedy,111,English
Squared Love All Over Again,2023-02-13,Romantic comedy,100,Polish
All the Places,2023-02-14,Comedy-drama,97,Spanish
Unlocked,2023-02-17,Thriller,117,Korean
The Strays,2023-02-22,Drama,97,English
Call Me Chihiro,2023-02-23,Drama,131,Japanese
We Have a Ghost,2023-02-24,Family adventure,127,English
Tonight You're Sleeping with Me,2023-03-01,Romantic drama,93,Polish
10 Days of a Good Man,2023-03-03,Drama,124,Turkish
Love at First Kiss,2023-03-03,Romantic comedy,96,Spanish
Faraway,2023-03-08,Romantic comedy,109,English
Have a Nice Day!,2023-03-10,Comedy,93,Spanish
Luther: The Fallen Sun,2023-03-10,Crime drama,130,English
In His Shadow,2023-03-17,Drama,89,French
Noise,2023-03-17,Thriller,90,Dutch
The Magician's Elephant,2023-03-17,Animation,103,English
Chor Nikal Ke Bhaga,2023-03-24,Heist thriller,110,Hindi
Kill Boksoon,2023-03-31,Crime thriller,139,Korean
Murder Mystery 2,2023-03-31,Mystery comedy,90,English
Chupa,2023-04-07,Fantasy adventure,98,English
Kings of Mulberry Street: Let Love Reign,2023-04-07,Comedy,109,English
Oh Belinda,2023-04-07,Drama,97,Turkish
Hunger,2023-04-08,Thriller drama,130,Thai
Queens on the Run,2023-04-14,Comedy,97,Spanish
Phenomena,2023-04-14,Comedy,94,Spanish
A Tourist's Guide to Love,2023-04-21,Romantic comedy,96,English
Chokehold,2023-04-21,Thriller,112,Turkish
One More Time,2023-04-21,Comedy,85,Swedish
"Kiss, Kiss!",2023-04-26,Romantic comedy,107,Polish
The Matchmaker,2023-04-27,Psychological thriller,81,Arabic
AKA,2023-04-28,Action thriller,124,French
Royalteen: Princess Margrethe,2023-05-11,Coming-of-age,98,Norwegian
The Mother,2023-05-12,Action drama,117,English
Fanfic,2023-05-17,Drama,95,Polish
Kathal – A Jackfruit Mystery,2023-05-19,Dark crime dramedy,115,Hindi
Hard Feelings,2023-05-24,Comedy,103,German
Mother's Day,2023-05-24,Action,94,Polish
Blood and Gold,2023-05-26,War,100,German
Where the Tracks End,2023-05-26,Family film,95,Spanish
A Beautiful Life,2023-06-01,Drama,99,Danish
Missed Connections,2023-06-02,Romantic comedy,107,Filipino
Rich in Love 2,2023-06-02,Romantic comedy,89,Portuguese
The Wonder Weeks,2023-06-09,Comedy drama,110,Dutch
You Do You,2023-06-09,Romantic comedy,99,Turkish
Black Clover: Sword of the Wizard King,2023-06-16,Anime,113,Japanese
Extraction 2,2023-06-16,Action thriller,123,English
iNumber Number: Jozi Gold,2023-06-23,Thriller,113,English
Make Me Believe,2023-06-23,Romantic comedy,104,Turkish
The Perfect Find,2023-06-23,Romantic comedy,99,English
Through My Window 2: Across the Sea,2023-06-23,Romance,111,Spanish
Lust Stories 2,2023-06-29,Anthology film,132,Hindi
Nimona,2023-06-30,Animated science fiction,102,English
Gold Brick,2023-07-06,Comedy,95,French
Seasons,2023-07-07,Romance,109,Filipino
The Out-Laws,2023-07-07,Action comedy,95,English
Mr. Car and the Knights Templar,2023-07-12,Drama,110,Polish
Bird Box Barcelona,2023-07-14,Post-apocalyptic horror-thriller,111,Spanish
Love Tactics 2,2023-07-14,Romantic comedy,98,Turkish
The (Almost) Legends,2023-07-19,Comedy,96,Spanish
They Cloned Tyrone,2023-07-21,Sci-fi comedy mystery,119,English
Happiness for Beginners,2023-07-27,Romantic comedy,103,English
Paradise,2023-07-27,Sci-fi action-thriller,118,German
The Murderer,2023-07-27,Black comedy,120,Thai
Today We'll Talk About That Day,2023-07-27,Melodrama,118,Indonesian
Big Nunu's Little Heist,2023-07-28,Comedy,92,Zulu
Soulcatcher,2023-08-02,Thriller,98,Polish
Head to Head,2023-08-03,Thriller comedy,94,Arabic
Zom 100: Bucket List of the Dead,2023-08-03,Zombie apocalypse / comedy,129,Japanese
Heart of Stone,2023-08-11,Spy thriller,125,English
10 Days of a Bad Man,2023-08-18,Drama,124,Turkish
"Love, Sex & 30 Candles",2023-08-18,Drama,106,English
The Monkey King,2023-08-18,Animated action comedy,96,English
Squared Love Everlasting,2023-08-23,Romantic comedy,102,Polish
Killer Book Club,2023-08-25,Slasher,89,Spanish
You Are So Not Invited to My Bat Mitzvah,2023-08-25,Coming-of-age,103,English
The Great Seduction,2023-08-30,Comedy,95,Spanish
A Day and a Half,2023-09-01,Thriller,95,Swedish
Friday Night Plan,2023-09-01,Coming-of-age,108,Hindi
Happy Ending,2023-09-01,Comedy,93,Dutch
What If?,2023-09-07,Romantic drama,112,Filipino
Freestyle,2023-09-13,Thriller,88,Polish
Ehrengard: The Art of Seduction,2023-09-14,Romantic comedy,94,Danish
Once Upon a Crime,2023-09-14,Fantasy,107,Japanese
El Conde,2023-09-15,Black comedy,111,Spanish
Love at First Sight,2023-09-15,Romance,91,English
Jaane Jaan,2023-09-21,Thriller,139,Hindi
Spy Kids: Armageddon,2023-09-22,Action-adventure,97,English
The Black Book,2023-09-22,Thriller,124,English
Forgotten Love,2023-09-27,Drama,140,Polish
Overhaul,2023-09-27,Action drama,98,Portuguese
Street Flow 2,2023-09-27,Drama,98,French
Love Is in the Air,2023-09-28,Romantic comedy,88,English
Do Not Disturb,2023-09-29,Dramedy,114,Turkish
Nowhere,2023-09-29,Thriller,109,Spanish
Reptile,2023-09-29,Crime drama,136,English
Keys to the Heart,2023-10-04,Drama,102,Filipino
Khufiya,2023-10-05,Spy thriller,157,Hindi
Fair Play,2023-10-06,Erotic thriller,115,English
A Deadly Invitation,2023-10-06,Drama,93,Spanish
Ballerina,2023-10-06,Thriller,93,Korean
Once Upon a Star,2023-10-11,Drama,138,Thai
Ìjọ̀gbọ̀n,2023-10-13,Drama,115,Yoruba
The Conference,2023-10-13,Slasher comedy,100,Swedish
Crypto Boy,2023-10-19,Drama,103,Dutch
Kandasamys: The Baby,2023-10-20,Comedy,93,English
Old Dads,2023-10-20,Comedy,104,English
Burning Betrayal,2023-10-25,Thriller,98,Portuguese
Pain Hustlers,2023-10-27,Crime drama,124,English
Sister Death,2023-10-27,Horror,90,Spanish
Hurricane Season,2023-11-01,Drama,99,Spanish
Locked In,2023-11-01,Psychological thriller,96,English
Nuovo Olimpo,2023-11-01,Romance,112,Italian
Wingwomen,2023-11-01,Action dramedy,115,French
Nyad,2023-11-03,Biopic,121,English
The Killer,2023-11-10,Neo-noir action thriller,119,English
Best. Christmas. Ever!,2023-11-16,Romantic comedy,81,English
In Love and Deep Water,2023-11-16,Romantic mystery comedy,127,Japanese
Believer 2,2023-11-17,Crime action,116,Korean
Rustin,2023-11-17,Biographical drama,108,English
All-Time High,2023-11-17,Comedy,103,French
The Queenstown Kings,2023-11-17,Drama,137,Xhosa
Leo,2023-11-21,Animated musical,106,English
I Don't Expect Anyone to Believe Me,2023-11-22,Comedy-thriller,117,Spanish
Doi Boy,2023-11-24,Drama,99,Thai
Elena Knows,2023-11-24,Drama,100,Spanish
Last Call for Istanbul,2023-11-24,Drama,91,Turkish
Wedding Games,2023-11-24,Comedy,79,Portuguese
Family Switch,2023-11-30,Comedy,105,English
Christmas As Usual,2023-12-06,Romantic comedy,89,Norwegian
NAGA,2023-12-07,Thriller,113,Arabic
The Archies,2023-12-07,Musical,143,Hindi
Blood Vessel,2023-12-08,Thriller,119,Ijaw
Leave the World Behind,2023-12-08,Drama,141,English
Chicken Run: Dawn of the Nugget,2023-12-15,Stop motion comedy,101,English
Familia,2023-12-15,Drama,105,Spanish
Maestro,2023-12-20,Biographical drama,131,English
The Taming of the Shrewd 2,2023-12-20,Comedy,100,Polish
Rebel Moon – Part One: A Child of Fire,2023-12-21,Space opera,135,English
A Vampire in the Family,2023-12-24,Comedy,89,Portuguese
Kho Gaye Hum Kahan,2023-12-26,Comedy drama,134,Hindi
"Thank You, I'm Sorry",2023-12-26,Comedy drama,91,Swedish
Society of the Snow,2024-01-04,Disaster drama,145,Spanish
Good Grief,2024-01-05,Romantic comedy,100,English
Lift,2024-01-12,Action comedy-thriller,106,English
From the Ashes,2024-01-18,Drama,92,Arabic
Sixty Minutes,2024-01-19,Action,89,German
The Kitchen,2024-01-19,Science fiction drama,107,English
Badland Hunters,2024-01-26,Dystopian action,107,Korean
Orion and the Dark,2024-02-02,Animation,92,English
Ashes,2024-02-09,Drama,100,Turkish
Bhakshak,2024-02-09,Crime drama,134,Hindi
Kill Me If You Dare,2024-02-13,Comedy,94,Polish
Players,2024-02-14,Romantic comedy,105,English
Soweto Love Story,2024-02-14,Romantic comedy,102,English
The Heartbreak Agency,2024-02-14,Romantic comedy,96,German
Mea Culpa,2024-02-23,Legal drama,120,English
Through My Window 3: Looking at You,2024-02-23,Romance,105,Spanish
Code 8: Part II,2024-02-28,Science fiction,100,English
The Parades,2024-02-29,Drama,132,Japanese
My Name Is Loh Kiwan,2024-03-01,Drama,133,Korean
Spaceman,2024-03-01,Science fiction drama,107,English
Damsel,2024-03-08,Fantasy action,110,English
24 Hours with Gaspar,2024-03-14,Crime drama,98,Indonesian
Art of Love,2024-03-14,Romance,99,Turkish
Irish Wish,2024-03-15,Romantic comedy,93,English
Murder Mubarak,2024-03-15,Dramedy,141,Hindi
The Wonderful Story of Henry Sugar and Three More,2024-03-15,Fantasy anthology,88,English
Shirley,2024-03-22,Biographical drama,118,English
The Casagrandes Movie,2024-03-22,Animated comedy,85,English
Rest in Peace,2024-03-27,Drama,107,Spanish
No Pressure,2024-03-27,Romantic comedy,112,Polish
Heart of the Hunter,2024-03-29,Spy thriller,107,English
The Beautiful Game,2024-03-29,Drama,125,English
The Wages of Fear,2024-03-29,Thriller,106,French
The Tearsmith,2024-04-04,Coming-of-age romantic drama,105,Italian
Scoop,2024-04-05,Biographical drama,102,English
A Journey,2024-04-12,Drama,115,Filipino
Amar Singh Chamkila,2024-04-12,Romantic musical,145,Hindi
"Love, Divided",2024-04-12,Romantic comedy,98,Spanish
Stolen,2024-04-12,Drama,107,Northern Sami
Woody Woodpecker Goes to Camp,2024-04-12,Slapstick comedy,100,English
Rebel Moon – Part Two: The Scargiver,2024-04-19,Space opera,123,English
City Hunter,2024-04-25,Action comedy,104,Japanese
Honeymoonish,2024-04-29,Romantic comedy,100,Arabic
Down the Rabbit Hole,2024-05-01,Deadpan comedy,102,Spanish
Beautiful Rebel,2024-05-02,Biographical drama,113,Italian
Unfrosted,2024-05-03,Comedy,96,English
Mother of the Bride,2024-05-09,Romantic comedy,90,English
Monster,2024-05-16,Thriller,84,No dialogue
Thelma the Unicorn,2024-05-17,Animated musical,98,English
In Good Hands 2,2024-05-23,Romantic comedy,99,Turkish
Atlas,2024-05-24,Science fiction thriller,120,English
My Oni Girl,2024-05-24,Anime fantasy,112,Japanese
Bionic,2024-05-29,Science fiction,110,Portuguese
Colors of Evil: Red,2024-05-29,Crime thriller,112,Polish
A Part of You,2024-05-31,Coming-of-age drama,100,Swedish
The Price of Nonna's Inheritance,2024-06-04,Comedy,90,Italian
Under Paris,2024-06-05,Thriller,103,French
Basma,2024-06-06,Drama,105,Arabic
Ultraman: Rising,2024-06-14,Animation,121,English
Inheritance,2024-06-19,Comedy,94,Polish
Maharaj,2024-06-21,Period drama,131,Hindi
Trigger Warning,2024-06-21,Action thriller,106,English
Drawing Closer,2024-06-27,Romance,118,Japanese
A Family Affair,2024-06-28,Romantic comedy,113,English
Beverly Hills Cop: Axel F,2024-07-03,Buddy cop,117,English
Goyo,2024-07-05,Romantic drama,107,Spanish
Wild Wild Punjab,2024-07-10,Comedy,110,Hindi
Vanished into the Night,2024-07-11,Thriller,92,Italian
Blame the Game,2024-07-12,Comedy,92,German
Lobola Man,2024-07-12,Comedy,108,Zulu
The Champion,2024-07-12,Comedy,106,Spanish
Find Me Falling,2024-07-19,Romantic comedy,93,English
House of Ga'a,2024-07-26,Drama,120,Yoruba
Non Negotiable,2024-07-26,Action comedy,86,Spanish
Borderless Fog,2024-08-01,Crime thriller,111,Indonesian
Saving Bikini Bottom: The Sandy Cheeks Movie,2024-08-02,Animated comedy,86,English
Lolo and the Kid,2024-08-07,Drama,97,Filipino
Mission: Cross,2024-08-09,Crime comedy spy,100,Korean
Phir Aayi Hasseen Dillruba,2024-08-09,Crime thriller,132,Hindi
The Union,2024-08-16,Spy,109,English
Nice Girls,2024-08-21,Action comedy,92,French
Incoming,2024-08-23,Comedy,91,English
Tòkunbọ̀,2024-08-23,Crime thriller,112,English
Untamed Royals,2024-08-28,Drama,99,Spanish
The Deliverance,2024-08-30,Thriller,112,English
(Un)lucky Sisters,2024-08-30,Comedy,83,Spanish
Rebel Ridge,2024-09-06,Thriller,131,English
Boxer,2024-09-11,Sports drama,152,Polish
Technoboys,2024-09-11,Musical drama,110,Spanish
Officer Black Belt,2024-09-13,Action comedy,109,Korean
Sector 36,2024-09-13,Crime thriller,123,Hindi
Uglies,2024-09-13,Fantasy,102,English
His Three Daughters,2024-09-20,Drama,104,English
Divorce,2024-09-25,Drama,92,Polish
A True Gentleman,2024-09-26,Drama,110,Turkish
Rez Ball,2024-09-27,Sports drama,113,English
Trouble,2024-10-03,Action comedy,98,Swedish
CTRL,2024-10-04,Thriller,99,Hindi
It's What's Inside,2024-10-04,Horror thriller,104,English
The Platform 2,2024-10-04,Science fiction,100,Spanish
In Her Place,2024-10-11,Drama,95,Spanish
Lonely Planet,2024-10-11,Romantic drama,96,English
Uprising,2024-10-11,Historical thriller,128,Korean
Justice,2024-10-16,Crime drama,115,Polish
Outside,2024-10-17,Post-apocalyptic psychological thriller,142,Filipino
The Shadow Strays,2024-10-17,Action,145,Indonesian
Happiness Is,2024-10-18,Comedy drama,96,English
The Man Who Loved UFOs,2024-10-18,Comedy drama,107,Spanish
Family Pack,2024-10-23,Comedy,95,French
Do Patti,2024-10-25,Mystery thriller,127,Hindi
Don't Move,2024-10-25,Thriller horror,92,English
Time Cut,2024-10-30,Science fiction slasher,91,English
Let Go,2024-11-01,Drama,110,Swedish
Meet Me Next Christmas,2024-11-06,Romantic comedy,105,English
Pedro Páramo,2024-11-06,Drama,132,Spanish
10 Days of a Curious Man,2024-11-07,Drama,110,Turkish
Umjolo: The Gone Girl,2024-11-08,Romantic comedy,93,Zulu
Vijay 69,2024-11-08,Comedy drama,112,Hindi
Hot Frosty,2024-11-13,Romantic comedy,92,English
GTMAX,2024-11-20,Action,100,French
The Merry Gentlemen,2024-11-20,Romantic comedy,87,English
Maybe Baby 2,2024-11-21,Comedy,107,Danish
Joy,2024-11-22,Drama,115,English
Spellbound,2024-11-22,Animated musical fantasy,110,English
The Piano Lesson,2024-11-22,Drama,127,English
Our Little Secret,2024-11-27,Romantic comedy,101,English
Sikandar Ka Muqaddar,2024-11-29,Crime drama,143,Hindi
The Snow Sister,2024-11-29,Holiday,97,Norwegian
That Christmas,2024-12-04,Animation,97,English
The Children's Train,2024-12-04,Period drama,106,Italian
Camp Crasher,2024-12-06,Comedy,95,Spanish
Mary,2024-12-06,Period drama,112,English
Carry-On,2024-12-13,Action thriller,119,English
Disaster Holiday,2024-12-13,Comedy,93,English
Ferry 2,2024-12-20,Crime drama,95,Dutch
The Six Triple Eight,2024-12-20,Period drama,129,English
Umjolo: Day Ones,2024-12-20,Romantic comedy,86,Zulu
The Love Scam,2025-01-01,Romantic comedy,101,Italian
"Umjolo: My Beginning, My End!",2025-01-03,Romantic comedy,73,Zulu
Wallace & Gromit: Vengeance Most Fowl,2025-01-03,Stop motion comedy,82,English
Ad Vitam,2025-01-10,Action thriller,98,French
Back in Action,2025-01-17,Action comedy,114,English
The Sand Castle,2025-01-24,Drama,97,Arabic
Lucca's World,2025-01-31,Drama,96,Spanish
Kinda Pregnant,2025-02-05,Comedy,100,English
The Witcher: Sirens of the Deep,2025-02-11,Animation,91,English
Death Before the Wedding,2025-02-12,Comedy,106,Polish
Honeymoon Crasher,2025-02-12,Comedy,95,French
La Dolce Villa,2025-02-13,Romantic comedy,99,English
Dhoom Dhaam,2025-02-14,Romantic comedy,108,Hindi
Love Forever,2025-02-14,Romantic comedy,96,Swedish
The Most Beautiful Girl in the World,2025-02-14,Romantic comedy,122,Indonesian
Umjolo: There is No Cure,2025-02-14,Romantic comedy,78,Zulu
A Copenhagen Love Story,2025-02-26,Romance,105,Danish
Demon City,2025-02-27,Revenge thriller,107,Japanese
The Wrong Track,2025-02-27,Drama,94,Norwegian
Sosyal Climbers,2025-02-27,Romantic comedy,103,Filipino
Counterattack,2025-02-28,Crime drama,85,Spanish
Squad 36,2025-02-28,Crime thriller,124,French
Delicious,2025-03-07,Drama,102,German
Nadaaniyan,2025-03-07,Romantic comedy,119,Hindi
Plankton: The Movie,2025-03-07,Animated comedy,87,English
The Electric State,2025-03-14,Science fiction adventure,128,English
Little Siberia,2025-03-21,Comedy drama,106,Finnish
Revelations,2025-03-21,Thriller,122,Korean
The Life List,2025-03-28,Romantic comedy,125,English
Promised Hearts,2025-03-31,Religious romantic drama,109,Indonesian
Banger,2025-04-02,Comedy thriller,91,French
Test,2025-04-04,Sports drama,145,Tamil
The Dad Quest,2025-04-09,Drama,84,Spanish
Frozen Hot Boys,2025-04-10,Drama,118,Thai
Meet the Khumalos,2025-04-11,Comedy,0,English
iHostage,2025-04-18,Crime thriller,0,Dutch
Bullet Train Explosion,2025-04-23,Action thriller,134,Japanese
Havoc,2025-04-25,Action thriller,107,English
Jewel Thief – The Heist Begins,2025-04-25,heist action thriller,0,Hindi
Exterritorial,2025-04-30,Action thriller,0,German
The Biggest Fan,2025-05-01,Comedy,0,Spanish
Lost Bullet 3,2025-05-07,Action-adventure,0,French
Nonnas,2025-05-09,Comedy,0,English
Fear Street: Prom Queen,2025-05-23,Horror,88,English
A Widow's Game,2025-05-30,Crime thriller,0,Spanish
K.O.,2025-06-06,Action,0,French
The Old Guard 2,2025-07-02,Superhero,0,English
Happy Gilmore 2,2025-07-25,Sports comedy,0,English
