title,release_date,genre,runtime,language
The Christmas Chronicles,2018-11-22,Christmas / Fantasy / Adventure / Comedy,105,English
A Christmas Prince: The Royal Wedding,2018-11-30,Christmas romantic comedy,93,English
Rajma Chawal,2018-11-30,Comedy drama,118,Hindi
5 Star Christmas,2018-12-07,Christmas comedy,95,Italian
Mowgli: Legend of the Jungle,2018-12-07,Adventure,104,English
Roma,2018-12-14,Drama,134,Spanish
Bird Box,2018-12-21,Psychological thriller,124,English
Lionheart,2019-01-04,Drama,94,English
The Last Laugh,2019-01-11,Comedy,98,English
IO,2019-01-18,Science fiction,96,English
Soni,2019-01-18,Crime drama,97,Hindi
Polar,2019-01-25,Action,118,English
Velvet Buzzsaw,2019-02-01,Dark comedy horror,112,English
High Flying Bird,2019-02-08,Sports-drama,90,English
Firebrand,2019-02-22,Drama,116,Marathi
Paris Is Us,2019-02-22,Romance drama,84,French
Paddleton,2019-02-22,Comedy drama,89,English
Walk. Ride. Rodeo.,2019-03-08,Biopic,99,English
Juanita,2019-03-08,Drama,90,English
Triple Frontier,2019-03-13,Action-adventure,125,English
Altered Carbon: Resleeved,2020-03-19,Anime/Science fiction,74,Japanese
The Dirt,2019-03-22,Biographical comedy,108,English
The Highwaymen,2019-03-29,Crime drama,132,English
15 August,2019-03-29,Comedy drama,124,Marathi
Unicorn Store,2019-04-05,Comedy drama,91,English
Who Would You Take to a Deserted Island?,2019-04-12,Drama,93,Spanish
The Perfect Date,2019-04-12,Teen romantic comedy,90,English
Someone Great,2019-04-19,Romantic comedy,92,English
Music Teacher,2019-04-19,Drama,101,Hindi
Despite Everything,2019-05-03,Comedy,78,Spanish
The Last Summer,2019-05-03,Teen romantic comedy,109,English
Wine Country,2019-05-10,Comedy,103,English
Good Sam,2019-05-16,Drama,90,English
See You Yesterday,2019-05-17,Science fiction,87,English
Rim of the World,2019-05-24,Science fiction adventure,99,English
The Perfection,2019-05-24,Horror thriller,90,English
Always Be My Maybe,2019-05-31,Romantic comedy,102,English
Chopsticks,2019-05-31,Comedy,100,Hindi
Elisa & Marcela,2019-06-07,Biographical romance,118,Spanish
Murder Mystery,2019-06-14,Comedy mystery,97,English
Beats,2019-06-19,Coming-of-age drama,110,English
Point Blank,2019-07-12,Action,86,English
Secret Obsession,2019-07-18,Thriller,97,English
The Red Sea Diving Resort,2019-07-31,Spy thriller,130,English
Otherhood,2019-08-02,Comedy,100,English
Jaoon Kahan Bata Ae Dil,2019-08-09,Romantic drama,106,Hindi
